Timestamp,ID,Clase,Confianza,Centro_X,Centro_Y,X1,Y1,X2,Y2
2026-03-05 18:41:57,9,Persona,0.820,321,304,193,131,450,478
2026-03-05 18:41:59,9,Persona,0.639,326,307,210,138,442,476
2026-03-05 18:42:07,14,Persona,0.769,295,284,170,90,420,479
2026-03-05 18:42:10,14,Persona,0.646,296,279,165,85,427,474
2026-03-05 18:42:12,14,Persona,0.786,338,282,206,85,470,479
2026-03-05 18:42:27,20,Persona,0.525,282,270,130,62,434,479
2026-03-05 18:42:35,21,Persona,0.693,262,262,103,45,421,479
2026-03-05 18:42:40,21,Persona,0.710,220,251,61,25,379,478
2026-03-05 18:42:42,21,Persona,0.622,170,251,20,23,321,479
2026-03-05 18:42:52,25,Persona,0.886,304,289,180,99,428,479
2026-03-05 18:43:05,26,Persona,0.713,251,276,111,73,391,479
2026-03-05 18:43:08,26,Persona,0.502,271,273,146,72,397,475
2026-03-05 18:43:22,29,Persona,0.776,375,319,267,159,483,479
2026-03-05 18:43:25,29,Persona,0.730,387,317,277,155,498,479
2026-03-05 18:43:38,35,Persona,0.627,325,304,213,129,438,479
2026-03-05 18:43:41,35,Persona,0.777,324,259,174,40,474,478
2026-03-05 18:43:43,35,Persona,0.593,320,260,173,46,468,474
2026-03-05 18:43:48,36,Persona,0.437,303,283,261,145,346,422
2026-03-05 18:43:51,36,Persona,0.478,296,289,255,146,338,432
2026-03-05 18:43:54,36,Persona,0.604,297,286,257,143,338,429
2026-03-05 18:45:05,42,Persona,0.771,333,312,225,146,442,479
2026-03-05 18:45:08,42,Persona,0.804,359,311,209,144,509,478
2026-03-05 18:45:11,42,Persona,0.796,347,309,221,139,474,479
